text,label,category,target,source,char_length,word_count,digit_count,has_url,has_phone
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,safe,Standard SMS,0,UCI SMS Spam Collection,148,30,0,0,0
What you thinked about me. First time you saw me in class.,safe,Standard SMS,0,UCI SMS Spam Collection,58,12,0,0,0
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",safe,Standard SMS,0,UCI SMS Spam Collection,124,23,0,0,0
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,safe,Standard SMS,0,UCI SMS Spam Collection,80,16,0,0,0
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",safe,Standard SMS,0,UCI SMS Spam Collection,289,55,0,0,0
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,scam,SMS Spam,1,UCI SMS Spam Collection,120,22,0,0,0
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,safe,Standard SMS,0,UCI SMS Spam Collection,76,13,0,0,0
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",scam,SMS Spam,1,UCI SMS Spam Collection,160,27,24,0,1
"Sorry, I'll call later in meeting.",safe,Standard SMS,0,UCI SMS Spam Collection,34,6,0,0,0
Tell where you reached,safe,Standard SMS,0,UCI SMS Spam Collection,22,4,0,0,0
Yes..gauti and sehwag out of odi series.,safe,Standard SMS,0,UCI SMS Spam Collection,40,7,0,0,0
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,safe,Standard SMS,0,UCI SMS Spam Collection,108,23,1,0,0
Ha ha ha good joke. Girls are situation seekers.,safe,Standard SMS,0,UCI SMS Spam Collection,48,9,0,0,0
Its a part of checking IQ,safe,Standard SMS,0,UCI SMS Spam Collection,25,6,0,0,0
"Sorry my roommates took forever, it ok if I come by now?",safe,Standard SMS,0,UCI SMS Spam Collection,56,12,0,0,0
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,safe,Standard SMS,0,UCI SMS Spam Collection,110,24,0,0,0
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a Â£1500 Bonus Prize, call 09066364589",scam,SMS Spam,1,UCI SMS Spam Collection,153,28,15,0,1
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",safe,Standard SMS,0,UCI SMS Spam Collection,122,23,0,0,0
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or Â£1000. To claim txt DIS to 87121 18+6*Â£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",scam,SMS Spam,1,UCI SMS Spam Collection,161,22,21,0,0
"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",scam,SMS Spam,1,UCI SMS Spam Collection,78,15,0,0,0
I plane to give on this month end.,safe,Standard SMS,0,UCI SMS Spam Collection,34,8,0,0,0
Wah lucky man... Then can save money... Hee...,safe,Standard SMS,0,UCI SMS Spam Collection,46,8,0,0,0
Finished class where are you.,safe,Standard SMS,0,UCI SMS Spam Collection,29,5,0,0,0
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,safe,Standard SMS,0,UCI SMS Spam Collection,45,10,0,0,0
K..k:)where are you?how did you performed?,safe,Standard SMS,0,UCI SMS Spam Collection,42,6,0,0,0
U can call me now...,safe,Standard SMS,0,UCI SMS Spam Collection,20,5,0,0,0
I am waiting machan. Call me once you free.,safe,Standard SMS,0,UCI SMS Spam Collection,43,9,0,0,0
Thats cool. i am a gentleman and will treat you with dignity and respect.,safe,Standard SMS,0,UCI SMS Spam Collection,73,14,0,0,0
I like you peoples very much:) but am very shy pa.,safe,Standard SMS,0,UCI SMS Spam Collection,50,11,0,0,0
Does not operate after  &lt;#&gt;  or what,safe,Standard SMS,0,UCI SMS Spam Collection,42,7,0,0,0
Its not the same here. Still looking for a job. How much do Ta's earn there.,safe,Standard SMS,0,UCI SMS Spam Collection,76,16,0,0,0
"Sorry, I'll call later",safe,Standard SMS,0,UCI SMS Spam Collection,22,4,0,0,0
K. Did you call me just now ah?,safe,Standard SMS,0,UCI SMS Spam Collection,31,8,0,0,0
Ok i am on the way to home hi hi,safe,Standard SMS,0,UCI SMS Spam Collection,32,10,0,0,0
You will be in the place of that man,safe,Standard SMS,0,UCI SMS Spam Collection,36,9,0,0,0
Yup next stop.,safe,Standard SMS,0,UCI SMS Spam Collection,14,3,0,0,0
"I call you later, don't have network. If urgnt, sms me.",safe,Standard SMS,0,UCI SMS Spam Collection,55,11,0,0,0
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,safe,Standard SMS,0,UCI SMS Spam Collection,121,26,1,0,0
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,safe,Standard SMS,0,UCI SMS Spam Collection,144,31,0,0,0
I'm really not up to it still tonight babe,safe,Standard SMS,0,UCI SMS Spam Collection,42,9,0,0,0
"Ela kano.,il download, come wen ur free..",safe,Standard SMS,0,UCI SMS Spam Collection,41,7,0,0,0
Yeah do! Donât stand to close tho- youâll catch something!,safe,Standard SMS,0,UCI SMS Spam Collection,62,10,0,0,0
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,safe,Standard SMS,0,UCI SMS Spam Collection,194,39,2,0,0
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,safe,Standard SMS,0,UCI SMS Spam Collection,141,26,1,0,0
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!,scam,SMS Spam,1,UCI SMS Spam Collection,139,23,22,0,0
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,safe,Standard SMS,0,UCI SMS Spam Collection,107,20,3,0,0
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",scam,SMS Spam,1,UCI SMS Spam Collection,158,29,18,0,0
Watching telugu movie..wat abt u?,safe,Standard SMS,0,UCI SMS Spam Collection,33,5,0,0,0
i see. When we finish we have loads of loans to pay,safe,Standard SMS,0,UCI SMS Spam Collection,51,12,0,0,0
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",safe,Standard SMS,0,UCI SMS Spam Collection,178,38,0,0,0
I see a cup of coffee animation,safe,Standard SMS,0,UCI SMS Spam Collection,31,7,0,0,0
Please don't text me anymore. I have nothing else to say.,safe,Standard SMS,0,UCI SMS Spam Collection,57,11,0,0,0
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,safe,Standard SMS,0,UCI SMS Spam Collection,81,21,0,0,0
I'm still looking for a car to buy. And have not gone 4the driving test yet.,safe,Standard SMS,0,UCI SMS Spam Collection,76,16,1,0,0
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",safe,Standard SMS,0,UCI SMS Spam Collection,183,36,0,0,0
Umma my life and vava umma love you lot dear,safe,Standard SMS,0,UCI SMS Spam Collection,44,10,0,0,0
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,safe,Standard SMS,0,UCI SMS Spam Collection,95,17,0,0,0
"Aight, I'll hit you up when I get some cash",safe,Standard SMS,0,UCI SMS Spam Collection,43,10,0,0,0
How would my ip address test that considering my computer isn't a minecraft server,safe,Standard SMS,0,UCI SMS Spam Collection,82,14,0,0,0
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,safe,Standard SMS,0,UCI SMS Spam Collection,115,24,0,0,0
Dont worry. I guess he's busy.,safe,Standard SMS,0,UCI SMS Spam Collection,30,6,0,0,0
What is the plural of the noun research?,safe,Standard SMS,0,UCI SMS Spam Collection,40,8,0,0,0
Going for dinner.msg you after.,safe,Standard SMS,0,UCI SMS Spam Collection,31,5,0,0,0
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,safe,Standard SMS,0,UCI SMS Spam Collection,96,24,1,0,0
GENT! We are trying to contact you. Last weekends draw shows that you won a Â£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,scam,SMS Spam,1,UCI SMS Spam Collection,159,27,22,0,1
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",safe,Standard SMS,0,UCI SMS Spam Collection,143,24,0,0,0
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",safe,Standard SMS,0,UCI SMS Spam Collection,156,32,1,0,0
You are a winner U have been specially selected 2 receive Â£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),scam,SMS Spam,1,UCI SMS Spam Collection,152,27,22,0,0
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,safe,Standard SMS,0,UCI SMS Spam Collection,71,12,0,0,0
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,safe,Standard SMS,0,UCI SMS Spam Collection,86,15,0,0,0
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,scam,SMS Spam,1,UCI SMS Spam Collection,144,20,34,0,1
"URGENT! Your Mobile No. was awarded Â£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",scam,SMS Spam,1,UCI SMS Spam Collection,157,26,26,0,1
here is my new address -apples&pairs&all that malarky,safe,Standard SMS,0,UCI SMS Spam Collection,53,8,0,0,0
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,scam,SMS Spam,1,UCI SMS Spam Collection,156,27,22,0,1
I am going to sao mu today. Will be done only at 12,safe,Standard SMS,0,UCI SMS Spam Collection,51,13,2,0,0
Ã predict wat time Ã¼'ll finish buying?,safe,Standard SMS,0,UCI SMS Spam Collection,40,7,0,0,0
"Good stuff, will do.",safe,Standard SMS,0,UCI SMS Spam Collection,20,4,0,0,0
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",safe,Standard SMS,0,UCI SMS Spam Collection,244,46,0,0,0
Are you there in room.,safe,Standard SMS,0,UCI SMS Spam Collection,22,5,0,0,0
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,safe,Standard SMS,0,UCI SMS Spam Collection,107,27,0,0,0
K..k:)how much does it cost?,safe,Standard SMS,0,UCI SMS Spam Collection,28,5,0,0,0
I'm home.,safe,Standard SMS,0,UCI SMS Spam Collection,9,2,0,0,0
"Dear, will call Tmorrow.pls accomodate.",safe,Standard SMS,0,UCI SMS Spam Collection,39,5,0,0,0
First answer my question.,safe,Standard SMS,0,UCI SMS Spam Collection,25,4,0,0,0
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. Â£1.50 SP:Tyrone,scam,SMS Spam,1,UCI SMS Spam Collection,126,25,8,0,0
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,scam,SMS Spam,1,UCI SMS Spam Collection,162,28,13,0,0
I only haf msn. It's yijue@hotmail.com,safe,Standard SMS,0,UCI SMS Spam Collection,38,6,0,1,0
He is there. You call and meet him,safe,Standard SMS,0,UCI SMS Spam Collection,34,8,0,0,0
No no. I will check all rooms befor activities,safe,Standard SMS,0,UCI SMS Spam Collection,46,9,0,0,0
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,scam,SMS Spam,1,UCI SMS Spam Collection,155,32,5,0,0
Got c... I lazy to type... I forgot Ã¼ in lect... I saw a pouch but like not v nice...,safe,Standard SMS,0,UCI SMS Spam Collection,86,20,0,0,0
"K, text me when you're on the way",safe,Standard SMS,0,UCI SMS Spam Collection,33,8,0,0,0
"Sir, Waiting for your mail.",safe,Standard SMS,0,UCI SMS Spam Collection,27,5,0,0,0
"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",safe,Standard SMS,0,UCI SMS Spam Collection,156,26,2,0,0
I know you are. Can you pls open the back?,safe,Standard SMS,0,UCI SMS Spam Collection,42,10,0,0,0
Yes see ya not on the dot,safe,Standard SMS,0,UCI SMS Spam Collection,25,7,0,0,0
Whats the staff name who is taking class for us?,safe,Standard SMS,0,UCI SMS Spam Collection,48,10,0,0,0
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",scam,SMS Spam,1,UCI SMS Spam Collection,159,29,14,0,0
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,safe,Standard SMS,0,UCI SMS Spam Collection,84,15,0,0,0
K..i deleted my contact that why?,safe,Standard SMS,0,UCI SMS Spam Collection,33,6,0,0,0
Sindu got job in birla soft ..,safe,Standard SMS,0,UCI SMS Spam Collection,30,7,0,0,0
The wine is flowing and i'm i have nevering..,safe,Standard SMS,0,UCI SMS Spam Collection,45,9,0,0,0
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,safe,Standard SMS,0,UCI SMS Spam Collection,59,15,2,0,0
Ok... Ur typical reply...,safe,Standard SMS,0,UCI SMS Spam Collection,25,4,0,0,0
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",safe,Standard SMS,0,UCI SMS Spam Collection,384,80,0,0,0
Aaooooright are you at work?,safe,Standard SMS,0,UCI SMS Spam Collection,28,5,0,0,0
I'm leaving my house now...,safe,Standard SMS,0,UCI SMS Spam Collection,27,5,0,0,0
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",safe,Standard SMS,0,UCI SMS Spam Collection,157,33,0,0,0
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,scam,SMS Spam,1,UCI SMS Spam Collection,124,19,11,0,1
You are a winner U have been specially selected 2 receive Â£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,scam,SMS Spam,1,UCI SMS Spam Collection,146,27,20,0,0
Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,safe,Standard SMS,0,UCI SMS Spam Collection,115,24,0,0,0
New car and house for my parents.:)i have only new job in hand:),safe,Standard SMS,0,UCI SMS Spam Collection,64,13,0,0,0
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,safe,Standard SMS,0,UCI SMS Spam Collection,85,19,0,0,0
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,scam,SMS Spam,1,UCI SMS Spam Collection,152,24,13,1,0
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",scam,SMS Spam,1,UCI SMS Spam Collection,155,30,1,0,0
I place all ur points on e cultures module already.,safe,Standard SMS,0,UCI SMS Spam Collection,51,10,0,0,0
URGENT! We are trying to contact you. Last weekends draw shows that you have won a Â£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,scam,SMS Spam,1,UCI SMS Spam Collection,157,27,18,0,1
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",safe,Standard SMS,0,UCI SMS Spam Collection,74,13,0,0,0
Great escape. I fancy the bridge but needs her lager. See you tomo,safe,Standard SMS,0,UCI SMS Spam Collection,66,13,0,0,0
Yes :)it completely in out of form:)clark also utter waste.,safe,Standard SMS,0,UCI SMS Spam Collection,59,10,0,0,0
"Sir, I need AXIS BANK account no and bank address.",safe,Standard SMS,0,UCI SMS Spam Collection,50,10,0,0,0
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",safe,Standard SMS,0,UCI SMS Spam Collection,93,20,1,0,0
What time you coming down later?,safe,Standard SMS,0,UCI SMS Spam Collection,32,6,0,0,0
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...",safe,Standard SMS,0,UCI SMS Spam Collection,104,21,0,0,0
"Well, i'm gonna finish my bath now. Have a good...fine night.",safe,Standard SMS,0,UCI SMS Spam Collection,61,11,0,0,0
Let me know when you've got the money so carlos can make the call,safe,Standard SMS,0,UCI SMS Spam Collection,65,14,0,0,0
U still going to the mall?,safe,Standard SMS,0,UCI SMS Spam Collection,26,6,0,0,0
"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",safe,Standard SMS,0,UCI SMS Spam Collection,146,30,0,0,0
Text her. If she doesnt reply let me know so i can have her log in,safe,Standard SMS,0,UCI SMS Spam Collection,66,16,0,0,0
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,safe,Standard SMS,0,UCI SMS Spam Collection,126,25,0,0,0
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,safe,Standard SMS,0,UCI SMS Spam Collection,159,31,1,0,0
Lol no. U can trust me.,safe,Standard SMS,0,UCI SMS Spam Collection,23,6,0,0,0
ok. I am a gentleman and will treat you with dignity and respect.,safe,Standard SMS,0,UCI SMS Spam Collection,65,13,0,0,0
"He will, you guys close?",safe,Standard SMS,0,UCI SMS Spam Collection,24,5,0,0,0
Going on nothing great.bye,safe,Standard SMS,0,UCI SMS Spam Collection,26,4,0,0,0
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,safe,Standard SMS,0,UCI SMS Spam Collection,152,32,0,0,0
"Haha awesome, be there in a minute",safe,Standard SMS,0,UCI SMS Spam Collection,34,7,0,0,0
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!,scam,SMS Spam,1,UCI SMS Spam Collection,149,24,22,0,0
Have you got Xmas radio times. If not i will get it now,safe,Standard SMS,0,UCI SMS Spam Collection,55,13,0,0,0
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,safe,Standard SMS,0,UCI SMS Spam Collection,88,19,0,0,0
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,scam,SMS Spam,1,UCI SMS Spam Collection,72,10,2,1,0
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,safe,Standard SMS,0,UCI SMS Spam Collection,185,38,0,0,0
Hi :)finally i completed the course:),safe,Standard SMS,0,UCI SMS Spam Collection,37,6,0,0,0
It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,safe,Standard SMS,0,UCI SMS Spam Collection,111,22,0,0,0
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,safe,Standard SMS,0,UCI SMS Spam Collection,92,19,1,0,0
Gud mrng dear hav a nice day,safe,Standard SMS,0,UCI SMS Spam Collection,28,7,0,0,0
Did u got that persons story,safe,Standard SMS,0,UCI SMS Spam Collection,28,6,0,0,0
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,safe,Standard SMS,0,UCI SMS Spam Collection,63,14,1,0,0
